article,type
https://www.dailymail.co.uk/money/markets/article-6148731/Co-op-steps-funeral-price-war-pledge-undercut-rivals.html,money
https://www.dailymail.co.uk/money/markets/article-6152083/Debenhams-plunged-turmoil-15-9m-wiped-value.html,money
https://www.dailymail.co.uk/money/markets/article-6152087/High-flyer-gave-job-look-children-appointed-Aston-Martins-female-chairman.html,money
https://www.dailymail.co.uk/money/markets/article-6152123/Volvo-pulls-plans-list-Stockholm-global-trade-war-dents-automotive-stocks.html,money
https://www.dailymail.co.uk/money/markets/article-6152133/Sir-Martin-Sorrell-expected-return-London-Stock-Exchange-weeks.html,money
https://www.dailymail.co.uk/money/markets/article-6152169/MARKET-REPORT-Plastic-firm-RPC-rallies-hedge-funds-step-in.html,money
https://www.dailymail.co.uk/money/markets/article-6152469/Akzo-Nobel-takes-skies-partnership-aeroplane-maker-Embraer.html,money
https://www.dailymail.co.uk/money/mortgageshome/article-1596759/Ten-tips-buy-let.html,money
https://www.dailymail.co.uk/money/mortgageshome/article-1687576/What-mortgage-rates.html,money
https://www.dailymail.co.uk/money/mortgageshome/article-6130709/How-Help-Buy-loan-took-daughter.html,money
https://www.dailymail.co.uk/money/mortgageshome/article-6131611/Help-Buy-left-trapped.html,money
https://www.dailymail.co.uk/money/mortgageshome/article-6142583/House-prices-remain-steady-despite-August-rate-rise.html,money
https://www.dailymail.co.uk/money/mortgageshome/article-6145751/Why-wealthy-homebuyers-love-rectory-classic-British-village-homes-hot-demand.html,money
https://www.dailymail.co.uk/money/mortgageshome/article-6145771/Gone-fishing-track-ideal-riverside-property-anglers.html,money
https://www.dailymail.co.uk/money/mortgageshome/article-6148729/House-price-growth-set-drop-halve-1-6-economists-warn.html,money
https://www.dailymail.co.uk/money/news/article-6146045/Why-Oxford-academic-suing-Royal-London-100-000-murder-mother.html,money
https://www.dailymail.co.uk/money/news/article-6146171/Holiday-villa-fraudsters-conned-clients-2-8m-jailed-total-17-years.html,money
https://www.dailymail.co.uk/money/news/article-6146229/As-hackers-steal-details-380-000-BA-customers-step-inside-Britains-cyber-security-HQ.html,money
https://www.dailymail.co.uk/money/news/article-6146287/The-high-street-gears-toughest-Christmas-period-living-memory.html,money
https://www.dailymail.co.uk/money/news/article-6146297/MPs-quiz-bank-bosses-impact-Brexit-financial-services.html,money
https://www.dailymail.co.uk/money/news/article-6146299/Meet-Maverick-Mauritius-runs-18bn-fund-firm-beach.html,money
https://www.dailymail.co.uk/money/news/article-6146327/Britains-biggest-water-firms-pay-1bn-dividends-fix-leak.html,money
https://www.dailymail.co.uk/money/news/article-6146343/Nestl-blames-32-dent-UK-profits-sterlings-slide-costlier-imports.html,money
https://www.dailymail.co.uk/money/news/article-6146347/Murdochs-ditch-assault-Sky-battle-Mogul-hires-lobbyists-help-seal-TV-megadeal.html,money
https://www.dailymail.co.uk/money/news/article-6148727/Lord-Mandelson-backtracks-criticism-former-Barclays-boss-Bob-Diamond.html,money
https://www.dailymail.co.uk/money/pensions/article-6109823/Is-ex-bilking-emergency-tax-refund-pension-cash.html,money
https://www.dailymail.co.uk/money/pensions/article-6130445/Will-council-force-sell-house-cover-dads-care-bills.html,money
https://www.dailymail.co.uk/money/pensions/article-6138617/I-offered-annuity-rate-25-good-true.html,money
https://www.dailymail.co.uk/money/podcast/article-6144121/What-teach-student-money-Money-podcast.html,money
https://www.dailymail.co.uk/money/saving/article-6131715/Is-child-sitting-2-000-windfall.html,money
https://www.dailymail.co.uk/money/saving/article-6144069/Our-exclusive-survey-shows-banks-failing-pass-base-rate-rises-savers.html,money
https://www.dailymail.co.uk/money/saving/article-6150625/How-share-data-safely-open-banking.html,money
https://www.dailymail.co.uk/money/smallbusiness/article-6110083/Flight-sharing-site-Wingly-lets-low-cost-private-planes.html,money
https://www.dailymail.co.uk/money/studentfinance/article-4779186/The-best-student-bank-accounts-2017-s-freshers.html,money
https://www.dailymail.co.uk/money/studentfinance/article-6127419/What-teach-kids-money-leave-university.html,money
https://www.dailymail.co.uk/money/wealthcheck/article-6135095/Money-Pit-Stop-want-buy-forever-home-five-years.html,money
https://www.dailymail.co.uk/sciencetech/article-3072501/The-best-one-speaker-ll-hear-Naim-Mu-wireless-speaker-review.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-3259916/Rise-Tomb-Raider-Interview-Lead-designer-Mike-Brinker-reveals-Lara-Croft-multi-faceted-character.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-3522470/Quantum-Break-broken-Xbox-One-s-time-travel-epic-game-disappointing-disjointed-parts.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-3552959/The-hi-tech-2-000-spin-bike-really-change-life.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-3605724/The-1-000-wireless-speaker-really-worth-price-Naim-Mu-Qb-review.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-4117892/Is-really-worth-paying-280-Switch-MailOnline-gives-verdict-Nintendo-s-latest-console.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-4260654/Fresh-masterfully-crafted-Horizon-Zero-Dawn-perfect.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-4897404/iPhone-8-best-handset-Apple-made.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-4900846/Apple-Watch-Series-3-review.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-4990648/A-real-contender-iPhone-8-Google-Pixel-2-review.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-5019059/Slick-smart-smutty-South-Park-Fractured-perfect-sequel.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-5033829/It-really-does-X-appeal-Apple-s-iPhone-X-review.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-5094607/Review-Shinola-tries-banish-Beats-headphones.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-5221679/Naim-Atom-Hifi-change-way-listen-music.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6000783/Scientists-discover-unusual-whale-dolphin-hybrid-swimming-coast-Kauai.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6011089/WhatsApp-just-launched-four-person-group-video-calling-users-Android-iOS.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6011883/Want-happy-DONT-make-plans-free-time-researchers-say.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6016285/95-lemur-population-facing-extinction-conservationists.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6020911/The-oldest-meteorite-4-65m-year-old-space-rock-reveal-secrets-solar-system.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6022861/Apple-Music-Spotify-finally-wiping-illegal-music-downloads-UK.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6023769/Make-really-DOES-make-attractive.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6029357/Elon-Musk-tweets-hilarious-parody-video-Hitler-shorting-Tesla-stock.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6031363/Google-funding-campaign-group-spams-policymakers-newspapers.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6031521/Foxes-pet-trend-scientists-discover-one-genes-involved-aggression.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6034427/China-tested-hypersonic-aircraft-called-Starry-Sky-2-fire-nuclear-missiles.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6036589/Scientists-discover-number-tornadoes-dropped-Arctic-sea-ice-retreats.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6036669/Hyperloop-build-500-million-research-centre-Spain.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6041247/How-best-meteor-shower-year-Perseids-peak-weekend.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6046591/Elon-Musk-intensifying-scrutiny-SEC.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6046751/FBI-scam-WARNING-Bureau-claims-hackers-using-Facebook-Messenger.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6046945/Homo-erectus-went-extinct-lazy-new-research-reveals.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6054495/Conspiracy-theorists-spot-bizarre-circular-shape-Gobi-desert-Google-Maps.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6054643/Brightest-Perseids-Meteor-Shower-revealed-stunning-new-photos.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6055207/New-species-pterodactyl-vampire-like-fangs-roamed-skies-Utah.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6055909/This-optical-illusion-help-diagnose-autism-seconds.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6057179/Security-vulnerability-Amazon-Echo-devices-let-hackers-spy-you.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6061167/Heatwave-reveals-hidden-archaeological-sites-England.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6062617/Nasas-New-Horizons-spacecraft-spotted-hydrogen-wall-Solar-System.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6066133/Pollen-allergy-test-Victor-polar-bear.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6068677/Google-clarifies-tracks-users-pause-location-history.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6070163/Thousands-tarantula-babies-emerge-egg-sac-gruesome-footage.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6070243/Watch-incredible-moment-daredevil-jumps-summit-Eiger-mountain-Switzerland.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6070323/Twitter-continues-cull-users-bid-clean-platform.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6070373/Mysterious-X-37B-unmanned-Nasa-space-plane-nears-one-year-orbit.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6070973/Bronze-age-hoard-potentially-worth-hundreds-thousands-pounds-discovered-Norfolk.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6072229/1300-holographic-AI-wife-chat-paying-14-month-living-expenses.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6082223/Autistic-grandad-spends-30-000-three-months-building-worlds-F-35B-flight-simulator.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6083461/The-moon-bricks-lunar-dust-build-mankinds-home-planet.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6084115/Ukrainian-DEMON-drone-fitted-guns-explosives-rocket-propelled-grenades.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6086487/Prehistoric-love-child-Neanderthal-Denisovan-unearthed-Russian-cave.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6086837/Stunning-footage-shows-tiny-lobster-krill-Gentoo-penguins-13-times-size.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6087321/Napoleons-defeat-Waterloo-helped-gigantic-Indonesian-volcanic-eruption.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6088237/New-Equal-Earth-projection-shows-size-continents-accurately.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6090635/Facebooks-data-security-app-Onavo-removed-Apples-App-Store.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6091615/Sony-unveils-litter-edition-version-Aibo-robot-dog-itll-set-2900.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6094273/Metal-detectorist-discovers-one-biggest-Roman-villas-found.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6094683/More-two-million-T-Mobile-customers-hit-data-breach-exposed-names-addresses.html,sciencetech
https://www.dailymail.co.uk/sciencetech/article-6095429/Video-shows-amazing-reverse-filter-stops-small-particles-lets-large-ones-through.html,sciencetech
